id,origin,destination,start_time,kind
103,43,82,548,Human
104,90,36,25,Human
105,91,83,371,Human
106,92,30,1173,Human
107,93,36,15,Human
108,24,84,70,Human
109,94,24,670,Human
110,95,85,982,Human
111,96,86,434,Human
112,97,28,128,Human
113,29,87,1628,Human
114,7,88,783,Human
115,98,89,320,Human
116,99,41,1452,Human
117,15,90,111,Human
118,38,91,1517,Human
119,100,92,1773,Human
120,101,29,912,Human
121,102,93,983,Human
122,103,94,1583,Human
123,104,95,1078,Human
124,6,96,1678,Human
125,105,78,633,Human
126,106,34,1488,Human
127,107,30,1611,Human
128,108,97,1233,Human
129,53,98,829,Human
130,109,39,1787,Human
131,110,99,1630,Human
132,111,3,613,Human
133,112,100,826,Human
134,113,92,554,Human
135,31,28,896,Human
136,114,92,340,Human
137,115,101,766,Human
138,116,50,1038,Human
139,117,102,1490,Human
140,118,43,1512,Human
141,20,85,473,Human
142,119,103,1733,Human
143,120,0,316,Human
144,121,25,325,Human
145,64,104,1225,Human
146,122,39,1683,Human
147,41,105,748,Human
148,93,106,1523,Human
149,123,107,1496,Human
150,124,108,414,Human
151,125,50,519,Human
152,126,3,1340,Human
153,127,2,1546,Human
154,128,39,221,Human
155,87,109,1236,Human
156,129,110,128,Human
157,130,111,885,Human
158,131,112,1189,Human
159,132,113,144,Human
160,130,50,693,Human
161,133,30,737,Human
162,134,66,905,Human
163,90,114,1397,Human
164,135,115,360,Human
165,41,47,866,Human
166,136,47,1220,Human
167,137,50,1797,Human
168,138,50,327,Human
169,139,50,971,Human
170,82,29,1401,Human
171,104,21,1514,Human
172,140,72,1325,Human
173,141,116,1276,Human
174,44,117,760,Human
175,142,47,327,Human
176,143,118,73,Human
177,144,39,502,Human
178,24,119,462,Human
179,145,120,79,Human
180,146,39,80,Human
181,147,121,980,Human
182,148,39,159,Human
183,147,122,1359,Human
184,86,29,1139,Human
185,149,123,585,Human
186,150,124,354,Human
187,151,125,931,Human
188,152,47,1020,Human
189,26,126,1620,Human
190,144,127,847,Human
191,153,128,1747,Human
192,129,129,1734,Human
193,64,130,417,Human
194,141,131,1516,Human
195,154,132,1765,Human
196,155,133,860,Human
197,156,100,222,Human
198,157,134,499,Human
199,158,128,1099,Human
200,159,135,19,Human
201,160,136,1192,Human
202,161,137,359,Human
203,133,138,425,Human
204,162,15,99,Human
205,163,12,1540,Human
206,164,139,618,Human
207,165,140,1045,Human
208,166,25,86,Human
209,167,116,448,Human
210,37,141,1348,Human
211,135,142,648,Human
212,144,27,7,Human
213,168,2,1783,Human
214,169,30,491,Human
215,170,143,1758,Human
216,171,100,1234,Human
217,11,134,1717,Human
218,144,15,811,Human
219,172,2,190,Human
220,131,144,1690,Human
221,173,72,908,Human
222,148,2,1107,Human
223,174,138,414,Human
224,173,72,442,Human
225,169,50,486,Human
226,53,145,1724,Human
227,131,145,854,Human
228,163,146,25,Human
229,162,101,1134,Human
230,175,43,1071,Human
231,176,39,259,Human
232,147,147,919,Human
233,133,100,1761,Human
234,79,148,150,Human
235,79,148,1302,Human
236,177,149,1002,Human
237,177,134,719,Human
238,178,70,1589,Human
239,179,150,1701,Human
240,180,70,1608,Human
241,181,146,975,Human
242,182,78,860,Human
243,183,151,936,Human
244,184,152,1278,Human
245,185,78,217,Human
246,186,12,504,Human
247,187,47,455,Human
248,188,81,2,Human
249,189,39,688,Human
250,190,153,607,Human
251,41,154,240,Human
252,166,25,580,Human
253,171,155,602,Human
254,191,156,939,Human
255,192,157,884,Human
256,162,25,236,Human
257,193,152,1182,Human
258,53,158,249,Human
259,19,159,447,Human
260,194,66,1173,Human
261,195,160,678,Human
262,178,38,1573,Human
263,196,34,298,Human
264,15,161,1558,Human
265,53,150,944,Human
266,132,38,1517,Human
267,197,84,209,Human
268,94,38,1109,Human
269,41,162,780,Human
270,198,152,1023,Human
271,139,92,632,Human
272,199,32,816,Human
273,200,92,1548,Human
274,121,105,560,Human
275,201,163,1248,Human
276,23,81,542,Human
277,202,92,803,Human
278,40,102,206,Human
279,203,164,1651,Human
280,204,165,1656,Human
281,205,21,1409,Human
282,6,166,9,Human
283,206,43,892,Human
284,207,38,1051,Human
285,114,167,47,Human
286,208,132,246,Human
287,209,168,314,Human
288,210,169,1293,Human
289,211,85,963,Human
290,90,164,496,Human
291,4,170,1096,Human
292,212,171,862,Human
293,213,150,122,Human
294,214,70,1372,Human
295,215,172,62,Human
296,3,173,1049,Human
297,133,174,519,Human
298,216,30,1419,Human
299,179,146,571,Human
300,29,175,1574,Human
301,119,28,314,Human
302,18,30,397,Human
303,217,176,915,Human
304,69,43,1289,Human
305,218,92,1143,Human
306,219,92,482,Human
307,220,177,507,Human
308,221,78,1471,Human
309,78,178,159,Human
310,222,148,907,Human
311,223,179,624,Human
312,224,180,1284,Human
313,165,171,1268,Human
314,121,78,205,Human
315,23,30,1108,Human
316,225,181,1325,Human
317,226,177,35,Human
318,227,182,604,Human
319,147,183,1338,Human
320,228,52,1178,Human
321,175,171,1440,Human
322,229,184,1222,Human
323,230,185,220,Human
324,231,30,1120,Human
325,99,105,1699,Human
326,35,42,710,Human
327,232,42,1588,Human
328,110,114,23,Human
329,233,100,96,Human
330,234,25,396,Human
331,35,186,568,Human
332,30,187,1585,Human
333,112,92,440,Human
334,120,188,1700,Human
335,208,28,345,Human
336,235,189,515,Human
337,236,139,890,Human
338,137,175,1107,Human
339,237,190,316,Human
340,215,191,1377,Human
341,238,192,582,Human
342,239,3,48,Human
343,240,136,982,Human
344,67,177,746,Human
345,241,177,767,Human
346,242,134,784,Human
347,243,35,503,Human
348,114,134,686,Human
349,244,92,705,Human
350,64,21,872,Human
351,245,185,35,Human
352,202,92,1645,Human
353,151,193,1520,Human
354,114,194,866,Human
355,164,139,796,Human
356,35,16,809,Human
357,167,177,585,Human
358,246,62,1399,Human
359,247,139,0,Human
360,248,195,921,Human
361,249,196,766,Human
362,221,197,1666,Human
363,250,74,300,Human
364,7,198,497,Human
365,221,139,1118,Human
366,251,177,106,Human
367,252,25,229,Human
368,253,156,1151,Human
369,7,199,251,Human
370,254,200,372,Human
371,59,16,338,Human
372,59,15,854,Human
373,255,92,1514,Human
374,256,66,165,Human
375,257,201,714,Human
376,258,202,114,Human
377,259,203,1690,Human
378,260,7,1606,Human
379,119,204,501,Human
380,169,175,1147,Human
381,214,205,720,Human
382,261,206,1261,Human
383,95,78,1160,Human
384,262,207,279,Human
385,263,208,1779,Human
386,38,209,366,Human
387,4,70,1312,Human
388,218,190,90,Human
389,264,46,394,Human
390,255,119,29,Human
391,222,210,277,Human
392,64,189,40,Human
393,265,38,1143,Human
394,23,171,212,Human
395,35,211,164,Human
396,29,212,1665,Human
397,86,105,268,Human
398,266,213,960,Human
399,267,66,1213,Human
400,268,214,416,Human
401,269,37,615,Human
402,270,187,469,Human
403,271,114,800,Human
404,49,50,532,Human
405,272,25,1638,Human
406,236,215,917,Human
407,273,148,339,Human
408,96,216,1773,Human
409,216,16,105,Human
410,274,36,1445,Human
411,275,217,338,Human
412,116,36,1698,Human
413,276,211,193,Human
414,277,95,510,Human
415,278,71,1382,Human
416,43,218,391,Human
417,92,135,210,Human
418,279,219,1698,Human
419,280,7,674,Human
420,23,171,367,Human
421,281,171,1376,Human
422,23,131,258,Human
423,242,66,1392,Human
424,282,16,528,Human
425,283,185,692,Human
426,247,211,1049,Human
427,73,100,975,Human
428,136,201,1751,Human
429,38,220,1581,Human
430,137,221,412,Human
431,236,222,457,Human
432,284,12,97,Human
433,285,209,1250,Human
434,286,210,512,Human
435,287,223,632,Human
436,268,30,513,Human
437,277,91,1155,Human
438,121,38,582,Human
439,288,171,184,Human
440,120,152,692,Human
441,19,176,437,Human
442,289,224,1119,Human
443,290,57,359,Human
444,228,163,826,Human
445,24,225,226,Human
446,242,66,1628,Human
447,291,226,503,Human
448,292,101,977,Human
449,293,227,77,Human
450,294,3,764,Human
451,295,209,1534,Human
452,110,66,1386,Human
453,204,228,582,Human
454,221,16,1796,Human
455,53,114,40,Human
456,296,229,359,Human
457,189,230,479,Human
458,297,231,188,Human
459,298,114,586,Human
460,160,139,699,Human
461,299,232,1569,Human
462,94,233,148,Human
463,277,3,101,Human
464,165,196,1601,Human
465,300,216,678,Human
466,21,177,991,Human
467,242,177,980,Human
468,204,69,126,Human
469,290,234,1299,Human
470,211,42,39,Human
471,64,178,1556,Human
472,93,100,1625,Human
473,40,49,286,Human
474,301,231,406,Human
475,73,72,1202,Human
476,302,231,1391,Human
477,303,163,74,Human
478,304,235,248,Human
479,305,25,472,Human
480,40,152,5,Human
481,32,30,410,Human
482,221,236,1540,Human
483,80,136,858,Human
484,306,46,631,Human
485,150,139,923,Human
486,137,207,1634,Human
487,58,67,529,Human
488,74,237,649,Human
489,91,178,129,Human
490,122,238,230,Human
491,295,239,1625,Human
492,213,204,853,Human
493,307,232,174,Human
494,226,235,972,Human
495,40,240,254,Human
496,201,25,975,Human
497,114,70,1741,Human
498,308,241,1313,Human
499,309,133,827,Human
500,310,43,1094,Human
501,311,39,1219,Human
502,312,100,283,Human
503,313,242,838,Human
504,314,175,1067,Human
505,44,148,4,Human
506,214,70,213,Human
507,315,43,1129,Human
508,181,43,1188,Human
509,316,243,695,Human
510,317,139,272,Human
511,318,244,1683,Human
512,189,3,1539,Human
513,319,81,424,Human
514,320,131,509,Human
515,321,2,1601,Human
516,70,157,1780,Human
517,322,39,27,Human
518,212,171,182,Human
519,323,245,1382,Human
520,145,246,306,Human
521,324,74,1103,Human
522,121,70,1332,Human
523,26,207,1456,Human
524,325,47,556,Human
525,27,47,158,Human
526,326,105,488,Human
527,219,247,24,Human
528,327,248,1109,Human
529,79,205,993,Human
530,327,176,756,Human
531,1,119,793,Human
532,277,156,1766,Human
533,12,70,1173,Human
534,41,249,62,Human
535,328,38,1657,Human
536,329,224,405,Human
537,330,43,112,Human
538,155,28,130,Human
539,188,78,414,Human
540,73,216,197,Human
541,284,66,763,Human
542,331,211,1145,Human
543,302,211,366,Human
544,332,136,948,Human
545,48,231,450,Human
546,214,2,338,Human
547,333,143,452,Human
548,334,117,886,Human
549,158,100,1145,Human
550,335,15,11,Human
551,255,250,671,Human
552,336,251,1234,Human
553,212,152,152,Human
554,121,252,1265,Human
555,10,43,725,Human
556,337,139,588,Human
557,263,38,1181,Human
558,280,136,388,Human
559,19,38,620,Human
560,334,253,308,Human
561,95,152,1789,Human
562,338,74,569,Human
563,339,254,1386,Human
564,262,255,1683,Human
565,269,104,1511,Human
566,340,256,543,Human
567,255,36,848,Human
568,48,21,145,Human
569,295,30,709,Human
570,275,257,1609,Human
571,269,60,1528,Human
572,341,255,119,Human
573,266,171,1063,Human
574,149,167,920,Human
575,342,258,1208,Human
576,84,66,973,Human
577,343,95,495,Human
578,344,117,937,Human
579,104,20,460,Human
580,93,259,1661,Human
581,110,152,144,Human
582,18,30,18,Human
583,144,260,600,Human
584,345,38,535,Human
585,262,40,1152,Human
586,201,3,840,Human
587,262,207,949,Human
588,114,32,910,Human
589,137,231,829,Human
590,249,261,1367,Human
591,210,169,1352,Human
592,273,177,1187,Human
593,242,31,1181,Human
594,95,211,794,Human
595,30,262,886,Human
596,346,92,3,Human
597,347,171,1609,Human
598,216,135,549,Human
599,3,171,1165,Human
600,0,241,1545,Human
601,348,263,936,Human
602,262,264,878,Human
603,349,265,536,Human
604,67,92,998,Human
605,350,113,928,Human
606,253,143,223,Human
607,200,26,952,Human
608,275,266,1754,Human
609,43,267,635,Human
610,351,35,1511,Human
611,347,241,860,Human
612,24,177,668,Human
613,41,109,506,Human
614,24,268,788,Human
615,269,3,834,Human
616,274,213,432,Human
617,315,172,1332,Human
618,30,269,169,Human
619,122,25,157,Human
620,38,270,244,Human
621,352,3,142,Human
622,68,152,360,Human
623,201,271,747,Human
624,123,264,1647,Human
625,215,272,550,Human
626,25,10,698,Human
627,353,78,625,Human
628,126,94,415,Human
629,102,273,1675,Human
630,249,274,1676,Human
631,201,171,385,Human
632,354,272,1386,Human
633,355,275,1521,Human
634,273,42,1608,Human
635,269,173,376,Human
636,356,152,1138,Human
637,88,274,1291,Human
638,104,276,1701,Human
639,93,38,1632,Human
640,214,197,655,Human
641,269,228,726,Human
642,357,174,600,Human
643,216,277,960,Human
644,349,3,517,Human
645,173,26,199,Human
646,289,28,101,Human
647,14,175,261,Human
648,3,278,741,Human
649,201,279,247,Human
650,273,166,876,Human
651,266,211,1356,Human
652,254,15,545,Human
653,358,164,1149,Human
654,359,38,913,Human
655,47,114,742,Human
656,360,280,920,Human
657,214,197,1186,Human
658,361,152,325,Human
659,123,175,1064,Human
660,362,261,445,Human
661,68,25,503,Human
662,363,281,1467,Human
663,364,282,807,Human
664,7,283,846,Human
665,283,139,560,Human
666,359,123,1646,Human
667,2,221,1583,Human
668,182,272,1141,Human
669,211,30,247,Human
670,365,21,447,Human
671,366,241,155,Human
672,316,284,1655,Human
673,367,262,874,Human
674,368,105,827,Human
675,123,285,453,Human
676,369,165,367,Human
677,253,18,1521,Human
678,154,286,892,Human
679,253,287,409,Human
680,23,20,169,Human
681,253,174,129,Human
682,216,199,909,Human
683,8,35,954,Human
684,214,5,54,Human
685,370,288,1509,Human
686,371,36,257,Human
687,204,199,1517,Human
688,30,21,560,Human
689,288,25,1236,Human
690,93,7,208,Human
691,372,289,121,Human
692,373,207,466,Human
693,263,290,1726,Human
694,165,291,304,Human
695,1,292,122,Human
696,1,292,700,Human
697,374,92,748,Human
698,120,30,1408,Human
699,375,21,1639,Human
700,376,293,739,Human
701,377,294,5,Human
702,378,295,245,Human
703,195,296,719,Human
704,379,29,1619,Human
705,287,92,1741,Human
706,200,5,98,Human
707,37,264,115,Human
708,64,4,881,Human
709,380,297,1233,Human
710,381,173,746,Human
711,366,165,366,Human
712,67,98,1086,Human
713,59,202,94,Human
714,382,30,375,Human
715,22,28,666,Human
716,105,16,605,Human
717,383,5,796,Human
718,378,185,1606,Human
719,384,252,1363,Human
720,221,289,1176,Human
721,316,201,1285,Human
722,30,298,1687,Human
723,151,299,830,Human
724,161,176,1676,Human
725,323,171,306,Human
726,96,139,342,Human
727,385,264,22,Human
728,104,292,1727,Human
729,86,139,373,Human
730,386,267,1421,Human
731,10,7,1645,Human
732,323,300,1259,Human
733,387,139,1098,Human
734,64,123,1669,Human
735,134,301,1291,Human
736,388,302,1524,Human
737,389,30,1566,Human
738,270,119,154,Human
739,69,175,237,Human
740,3,247,837,Human
741,390,30,640,Human
742,323,171,435,Human
743,42,3,429,Human
744,391,25,76,Human
745,296,10,1026,Human
746,23,272,670,Human
747,241,164,1048,Human
748,392,303,18,Human
749,349,187,1657,Human
750,393,252,1545,Human
751,330,92,450,Human
752,394,65,180,Human
753,395,213,445,Human
754,208,66,638,Human
755,396,152,1538,Human
756,397,129,638,Human
757,398,284,235,Human
758,33,3,933,Human
759,278,68,452,Human
760,399,207,1736,Human
761,242,304,1389,Human
762,38,305,275,Human
763,357,139,1047,Human
764,4,129,486,Human
765,400,306,732,Human
766,37,307,964,Human
767,371,286,4,Human
768,104,91,970,Human
769,64,167,135,Human
770,206,308,116,Human
771,31,29,896,Human
772,401,309,25,Human
773,241,3,1272,Human
774,165,310,1392,Human
775,61,16,1141,Human
776,382,34,429,Human
777,15,221,549,Human
778,282,101,619,Human
779,396,3,925,Human
780,402,114,1357,Human
781,287,310,478,Human
782,204,201,137,Human
783,403,8,1375,Human
784,2,311,1105,Human
785,404,74,296,Human
786,19,36,670,Human
787,405,114,1017,Human
788,353,3,125,Human
789,222,23,1462,Human
790,406,305,237,Human
791,188,312,1698,Human
792,315,300,9,Human
793,15,175,331,Human
794,21,225,1448,Human
795,37,235,449,Human
796,257,201,688,Human
797,273,202,88,Human
798,386,313,652,Human
799,407,314,1252,Human
800,8,315,1414,Human
801,188,312,1340,Human
802,408,114,914,Human
803,368,92,223,Human
804,385,16,61,Human
805,151,18,281,Human
806,309,316,1443,Human
807,398,239,227,Human
808,409,86,1007,Human
809,195,19,63,Human
810,410,300,543,Human
811,52,305,684,Human
812,403,173,778,Human
813,253,317,1136,Human
814,8,34,867,Human
815,411,3,1525,Human
816,349,13,1757,Human
817,305,16,1366,Human
818,161,318,1702,Human
819,113,211,148,Human
820,277,215,773,Human
821,327,177,716,Human
822,114,244,214,Human
823,214,109,814,Human
824,412,150,1687,Human
825,270,190,153,Human
826,273,261,1312,Human
827,69,28,277,Human
828,37,9,1712,Human
829,242,319,362,Human
830,37,9,398,Human
831,263,48,1321,Human
832,413,139,423,Human
833,366,29,701,Human
834,222,42,1748,Human
835,215,80,68,Human
836,208,209,1531,Human
837,257,92,573,Human
838,414,320,1703,Human
839,415,281,675,Human
840,242,321,913,Human
841,416,224,1451,Human
842,238,322,1375,Human
843,50,94,1157,Human
844,417,199,591,Human
845,359,323,285,Human
846,412,150,234,Human
847,14,13,46,Human
848,388,185,387,Human
849,123,319,108,Human
850,418,301,775,Human
851,19,20,136,Human
852,278,324,1573,Human
853,419,9,414,Human
854,420,20,39,Human
855,108,301,251,Human
856,421,173,1422,Human
857,422,3,717,Human
858,15,325,1737,Human
859,120,34,477,Human
860,423,28,1037,Human
861,424,326,412,Human
862,311,38,1670,Human
863,425,113,32,Human
864,426,327,692,Human
865,353,205,1395,Human
866,10,92,820,Human
867,420,301,245,Human
868,10,92,1507,Human
869,427,209,211,Human
870,278,3,498,Human
871,428,301,117,Human
872,84,197,146,Human
873,201,36,1555,Human
874,32,185,1121,Human
875,27,328,124,Human
876,429,260,185,Human
877,67,28,726,Human
878,18,197,717,Human
879,84,253,357,Human
880,430,301,1072,Human
881,27,197,308,Human
882,3,3,1340,Human
883,165,175,1460,Human
884,219,92,21,Human
885,263,16,1692,Human
886,253,28,1445,Human
887,339,329,1767,Human
888,431,213,201,Human
889,201,330,948,Human
890,43,278,1770,Human
891,253,28,874,Human
892,1,152,1321,Human
893,432,331,1785,Human
894,38,37,1201,Human
895,104,276,430,Human
896,291,267,1623,Human
897,41,11,963,Human
898,433,22,391,Human
899,19,139,983,Human
900,434,332,626,Human
901,318,100,781,Human
902,177,333,1681,Human
903,435,136,465,Human
904,214,38,517,Human
905,436,41,1611,Human
906,437,52,1140,Human
907,29,150,737,Human
908,96,255,460,Human
909,438,35,1758,Human
910,3,334,1773,Human
911,217,211,570,Human
912,121,255,893,Human
913,414,0,212,Human
914,118,329,1503,Human
915,37,335,365,Human
916,352,260,342,Human
917,368,222,40,Human
918,30,62,1659,Human
919,118,79,640,Human
920,0,23,1387,Human
921,215,163,366,Human
922,278,336,1266,Human
923,37,28,471,Human
924,214,3,1683,Human
925,71,337,1360,Human
926,253,20,1788,Human
927,24,114,1540,Human
928,330,114,635,Human
929,439,46,1209,Human
930,2,11,109,Human
931,21,68,1657,Human
932,108,152,1491,Human
933,365,9,83,Human
934,252,26,503,Human
935,440,26,602,Human
936,420,114,1068,Human
937,441,74,282,Human
938,421,175,264,Human
939,442,80,939,Human
940,215,42,1342,Human
941,77,338,1060,Human
942,277,155,891,Human
943,0,339,22,Human
944,443,340,622,Human
945,4,62,1029,Human
946,441,152,1371,Human
947,73,296,1097,Human
948,36,35,570,Human
949,232,3,1421,Human
950,420,341,521,Human
951,37,85,636,Human
952,444,29,1590,Human
953,348,228,696,Human
954,347,16,1011,Human
955,8,62,535,Human
956,255,155,1331,Human
957,420,318,1209,Human
958,233,163,1276,Human
959,104,65,905,Human
960,378,26,233,Human
961,259,26,681,Human
962,371,79,1315,Human
963,445,342,1447,Human
964,371,167,1622,Human
965,32,16,1359,Human
966,284,167,145,Human
967,84,201,999,Human
968,293,343,106,Human
969,438,152,1006,Human
970,258,344,166,Human
971,353,114,986,Human
972,219,345,502,Human
973,446,346,1455,Human
974,104,326,1549,Human
975,353,29,1096,Human
976,85,86,723,Human
977,447,8,1667,Human
978,448,139,1258,Human
979,334,114,439,Human
980,371,211,938,Human
981,420,96,1590,Human
982,211,94,525,Human
983,12,340,3,Human
984,273,274,808,Human
985,1,24,390,Human
986,449,211,668,Human
987,330,18,1585,Human
988,208,91,30,Human
989,282,37,1719,Human
990,47,16,569,Human
991,369,42,872,Human
992,68,85,1400,Human
993,104,347,579,Human
994,450,272,939,Human
995,451,338,1121,Human
996,409,91,542,Human
997,452,202,1760,Human
998,222,211,440,Human
999,122,348,1254,Human
1000,27,28,1481,Human
1001,453,28,163,Human
1002,118,211,1325,Human
1003,151,332,739,Human
1004,447,211,141,Human
1005,113,255,1269,Human
1006,33,26,1318,Human
1007,257,3,460,Human
1008,334,98,1537,Human
1009,19,28,184,Human
1010,29,71,1384,Human
1011,454,349,172,Human
1012,232,164,894,Human
1013,455,138,334,Human
1014,456,30,1278,Human
1015,457,118,692,Human
1016,200,135,1180,Human
1017,353,74,1734,Human
1018,37,20,1370,Human
1019,8,36,705,Human
1020,204,34,574,Human
1021,204,247,789,Human
1022,131,341,1696,Human
1023,69,36,1198,Human
1024,204,5,1142,Human
1025,232,350,351,Human
1026,458,341,1131,Human
1027,8,13,279,Human
1028,62,5,879,Human
1029,120,310,1631,Human
1030,8,36,208,Human
1031,355,291,349,Human
1032,455,351,1681,Human
1033,37,260,1113,Human
1034,204,247,722,Human
1035,37,36,391,Human
1036,259,236,1413,Human
1037,37,20,952,Human
1038,69,36,774,Human
1039,409,352,1265,Human
1040,58,175,621,Human
1041,363,353,657,Human
1042,37,63,730,Human
1043,6,282,1478,Human
1044,69,269,81,Human
1045,355,36,675,Human
1046,282,36,476,Human
1047,69,36,1686,Human
1048,232,95,1231,Human
1049,288,40,544,Human
1050,382,36,157,Human
1051,204,221,1057,Human
1052,8,40,1067,Human
1053,310,354,628,Human
1054,377,41,571,Human
1055,37,350,794,Human
1056,8,355,545,Human
1057,211,36,676,Human
1058,459,356,1643,Human
1059,40,281,1700,Human
1060,211,34,518,Human
1061,113,300,409,Human
1062,232,164,1702,Human
1063,446,321,684,Human
1064,412,34,840,Human
1065,204,357,1295,Human
1066,204,297,1099,Human
1067,310,95,552,Human
1068,282,20,89,Human
1069,396,231,1152,Human
1070,8,358,1266,Human
1071,377,20,1525,Human
1072,376,319,550,Human
1073,232,34,717,Human
1074,102,300,779,Human
1075,288,359,349,Human
1076,460,41,1294,Human
1077,311,42,1245,Human
1078,457,272,981,Human
1079,461,94,94,Human
1080,204,360,1768,Human
1081,457,36,313,Human
1082,248,320,824,Human
1083,396,94,813,Human
1084,204,360,126,Human
1085,248,34,1300,Human
1086,462,95,1703,Human
1087,204,40,1092,Human
1088,390,16,1788,Human
1089,368,341,958,Human
1090,151,266,152,Human
1091,463,315,1410,Human
1092,37,160,1603,Human
1093,232,215,1299,Human
1094,248,36,1395,Human
1095,303,341,1559,Human
1096,37,33,1172,Human
1097,232,358,796,Human
1098,204,281,171,Human
1099,368,36,771,Human
1100,455,36,809,Human
1101,204,361,1709,Human
1102,455,362,531,Human
1103,464,281,279,Human
1104,404,46,661,Human
1105,8,233,92,Human
1106,248,281,259,Human
1107,368,36,739,Human
1108,103,30,519,Human
1109,232,94,919,Human
1110,103,196,30,Human
1111,8,281,1703,Human
1112,465,213,105,Human
1113,315,363,1005,Human
1114,232,30,1504,Human
1115,102,364,1410,Human
1116,8,281,306,Human
1117,466,114,231,Human
1118,38,46,1731,Human
1119,8,365,34,Human
1120,102,341,1728,Human
1121,441,329,759,Human
1122,467,293,1401,Human
1123,390,366,68,Human
1124,37,16,295,Human
1125,206,82,316,Human
1126,412,64,638,Human
1127,28,116,1727,Human
1128,468,328,325,Human
1129,282,114,242,Human
1130,215,36,581,Human
1131,458,3,88,Human
1132,377,185,1071,Human
1133,122,8,1539,Human
1134,42,95,340,Human
1135,469,41,1216,Human
1136,470,76,1746,Human
1137,208,313,1235,Human
1138,471,128,1050,Human
1139,102,215,1232,Human
1140,232,367,614,Human
1141,57,16,376,Human
1142,228,82,34,Human
1143,102,60,1027,Human
1144,446,271,1740,Human
1145,472,368,815,Human
1146,399,175,1144,Human
1147,473,362,1583,Human
1148,311,173,117,Human
1149,213,163,1528,Human
1150,347,231,45,Human
1151,455,211,1289,Human
1152,9,328,773,Human
1153,290,350,779,Human
1154,37,260,598,Human
1155,32,369,1223,Human
1156,188,370,1716,Human
1157,311,336,1430,Human
1158,27,20,20,Human
1159,32,86,465,Human
1160,270,185,331,Human
1161,462,16,398,Human
1162,462,16,245,Human
1163,474,371,110,Human
1164,52,201,1286,Human
1165,22,29,673,Human
1166,446,211,1539,Human
1167,355,372,1583,Human
1168,404,334,1446,Human
1169,4,9,330,Human
1170,38,20,1651,Human
1171,214,5,330,Human
1172,311,373,734,Human
1173,30,16,1006,Human
1174,475,201,1514,Human
1175,15,274,660,Human
1176,15,334,1225,Human
1177,476,16,1020,Human
1178,6,334,145,Human
1179,50,36,1701,Human
1180,477,362,896,Human
1181,327,315,585,Human
1182,208,94,222,Human
1183,161,68,690,Human
1184,15,334,1281,Human
1185,214,360,1537,Human
1186,330,319,500,Human
1187,6,225,254,Human
1188,455,95,922,Human
1189,455,16,1532,Human
1190,360,94,77,Human
1191,399,374,302,Human
1192,438,301,101,Human
1193,111,42,477,Human
1194,9,355,375,Human
1195,465,375,1255,Human
1196,371,253,1431,Human
1197,232,16,730,Human
1198,0,272,438,Human
1199,232,16,1012,Human
1200,477,321,1443,Human
1201,453,29,580,Human
1202,446,362,1497,Human
1203,15,334,47,Human
1204,398,329,1797,Human
1205,102,109,108,Human
1206,360,300,711,Human
1207,478,334,390,Human
